COUNTRY;STATUS_2019
Algeria;ILLEGAL
Angola;LEGAL
Benin;LEGAL
Botswana;ILLEGAL
Burkina Faso;LEGAL
Burundi;ILLEGAL
Cameroon;ILLEGAL
Cape Verde ;LEGAL
Central African Republic;LEGAL
Chad;ILLEGAL
Comoros;ILLEGAL
Congo;LEGAL
Côte d'Ivoire;LEGAL
Democratic Republic of Congo;LEGAL
Djibouti;LEGAL
Egypt;DE FACTO ILLEGAL
Equatorial Guinea;LEGAL
Eritrea;ILLEGAL
Eswatini;ILLEGAL
Ethiopia;ILLEGAL
Gabon;LEGAL
Gambia;ILLEGAL
Ghana;ILLEGAL
Guinea;ILLEGAL
Guinea-Bissau;LEGAL
Kenya;ILLEGAL
Lesotho;LEGAL
Liberia;ILLEGAL
Libya;ILLEGAL
Madagascar;LEGAL
Malawi;ILLEGAL
Mali;LEGAL
Mauritania;ILLEGAL
Mauritius;ILLEGAL
Morocco;ILLEGAL
Mozambique;LEGAL
Namibia;ILLEGAL
Niger;LEGAL
Nigeria;ILLEGAL
Rwanda;LEGAL
São Tome & Principe;LEGAL
Senegal;ILLEGAL
Seychelles;LEGAL
Sierra Leone;ILLEGAL
Somalia;ILLEGAL
South Africa ;LEGAL
South Sudan;ILLEGAL
Sudan;ILLEGAL
Tanzania;ILLEGAL
Togo;ILLEGAL
Tunisia;ILLEGAL
Uganda;ILLEGAL
Zambia;ILLEGAL
Zimbabwe;ILLEGAL
Antigua and Barbuda;ILLEGAL
Argentina ;LEGAL
Bahamas ;LEGAL
Barbados;ILLEGAL
Belize;LEGAL
Bolivia;LEGAL
Brazil;LEGAL
Costa Rica ;LEGAL
Chile ;LEGAL
Colombia ;LEGAL
Cuba ;LEGAL
Dominica;ILLEGAL
Dominican Republic ;LEGAL
Ecuador ;LEGAL
El Salvador ;LEGAL
Grenada;ILLEGAL
Guatemala ;LEGAL
Guyana;ILLEGAL
Haiti ;LEGAL
Honduras ;LEGAL
Jamaica;ILLEGAL
Mexico ;LEGAL
Nicaragua ;LEGAL
Panama ;LEGAL
Paraguay;LEGAL
Peru ;LEGAL
St Kitts & Nevis;ILLEGAL
St Lucia;ILLEGAL
St Vincent & the Grenadines;ILLEGAL
Suriname ;LEGAL
Trinidad and Tobago;LEGAL
Uruguay ;LEGAL
Venezuela;LEGAL
Canada;LEGAL
United States;LEGAL
Afghanistan;ILLEGAL
Bahrain;LEGAL
Bangladesh;ILLEGAL
Bhutan;ILLEGAL
Brunei Darussalam;ILLEGAL
Cambodia;LEGAL
China;LEGAL
East Timor ;LEGAL
Palestine;
India;LEGAL
Indonesia;LEGAL
Iraq;DE FACTO ILLEGAL
Iran;ILLEGAL
Israel ;LEGAL
Japan ;LEGAL
Jordan ;LEGAL
Kazakhstan ;LEGAL
Kuwait;ILLEGAL
Kyrgyzstan ;LEGAL
Laos;LEGAL
Lebanon;ILLEGAL
Malaysia;ILLEGAL
Maldives;ILLEGAL
Mongolia ;LEGAL
Myanmar;ILLEGAL
Nepal ;LEGAL
North Korea;LEGAL
Oman;ILLEGAL
Pakistan;ILLEGAL
Philippines;LEGAL
Qatar;ILLEGAL
Saudi Arabia;ILLEGAL
Singapore;ILLEGAL
South Korea;LEGAL
Sri Lanka;ILLEGAL
Syria;ILLEGAL
Taiwan;
Tajikistan ;LEGAL
Thailand ;LEGAL
Turkmenistan;ILLEGAL
Vietnam;LEGAL
United Arab Emirates;ILLEGAL
Uzbekistan;ILLEGAL
Yemen;ILLEGAL
Albania ;LEGAL
Andorra ;LEGAL
Armenia ;LEGAL
Austria ;LEGAL
Azerbaijan ;LEGAL
Belarus ;LEGAL
Belgium ;LEGAL
Bosnia and Herzegovina;LEGAL
Bulgaria ;LEGAL
Croatia ;LEGAL
Cyprus ;LEGAL
Czech Republic ;LEGAL
Denmark ;LEGAL
Estonia ;LEGAL
Finland ;LEGAL
France ;LEGAL
Georgia ;LEGAL
Germany ;LEGAL
Greece ;LEGAL
Hungary ;LEGAL
Iceland ;LEGAL
Ireland;LEGAL
Italy ;LEGAL
Kosovo ;
Latvia ;LEGAL
Liechtenstein ;LEGAL
Lithuania ;LEGAL
Luxembourg ;LEGAL
Malta ;LEGAL
Moldova ;LEGAL
Monaco ;LEGAL
Montenegro ;LEGAL
Netherlands ;LEGAL
North Macedonia;LEGAL
Norway ;LEGAL
Poland ;LEGAL
Portugal ;LEGAL
Romania ;LEGAL
Russia;LEGAL
San Marino ;LEGAL
Serbia ;LEGAL
Slovakia ;LEGAL
Slovenia ;LEGAL
Spain;LEGAL
Sweden ;LEGAL
Switzerland ;LEGAL
Turkey ;LEGAL
Ukraine ;LEGAL
United Kingdom;LEGAL
Vatican City;
Australia;LEGAL
Cook Islands;
Fiji ;LEGAL
Kiribati;ILLEGAL
Marshall Islands;LEGAL
Micronesia;LEGAL
New Zealand ;LEGAL
Nauru;LEGAL
Palau ;LEGAL
Papua New Guinea;ILLEGAL
Samoa;ILLEGAL
Solomon Islands;ILLEGAL
Tonga;ILLEGAL
Tuvalu;ILLEGAL
Vanuatu;LEGAL